incident_id,incident_date,org_id,attack_type_id,severity,status,financial_loss_ngn,affected_users,resolution_time_hours,team_id
1474,2023-01-03,47,2,Medium,Resolved,44917627.22,3983,60,11
1313,2021-04-25,3,5,Low,Resolved,1369909.37,72,18,20
4434,2023-12-20,14,11,High,Resolved,396897933.18,21385,49,2
1682,2024-02-12,43,14,Medium,Under Investigation,27837828.06,1263,,1
4390,2024-09-11,43,8,medium,under investigation,,1704,,25
3465,2021-01-07,17,7,Medium,Resolved,34627628.74,2811,57,1
3646,2024-01-03,96,9,Medium,Unresolved,18180002.23,3978,,9
3301,2019-05-28,50,8,Low,Resolved,1328563.12,20,22,2
46,2021-10-05,39,7,Medium,Resolved,32744490.21,,32,21
3961,2023-10-06,10,2,low,RESOLVED,3742457.5,138,15,2
4784,2020-10-06,29,1,Low,Resolved,,49,16,1
2179,2022-12-28,7,11,Medium,Resolved,,4287,71,11
1451,2024-02-12,73,15,Medium,Under Investigation,28564222.52,,,1
904,2024-04-16,17,1,High,Unresolved,164848899.42,19410,,22
1491,2023-05-14,39,3,High,Resolved,310219314.74,27546,30,21
3575,2020-01-09,67,9,Medium,Resolved,15394696.14,377,64,18
4416,2024-04-01,1,10,Medium,Resolved,24262153.66,4483,36,13
2989,2022-02-04,53,5,High,Resolved,,,-5,19
2593,2024-10-02,52,12,Medium,RESOLVED,,1545,65,4
4930,2021-11-16,26,12,medium,Resolved,44419932.35,1154,16,2
3113,2024-12-19,90,10,Medium,Resolved,38359402.94,4244,57,6
959,2023-08-02,49,15,High,Unresolved,236462249.72,5908,,11
2148,2023-06-20,79,7,High,Resolved,252543061.03,14556,110,9
3847,2020-01-24,1,6,Medium,Resolved,18237422.06,1737,53,2
1526,2024-07-31,37,1,Low,Under Investigation,3249624.33,214,,1
622,2024-07-31,16,5,High,RESOLVED,327712913.39,47692,164,22
2546,2024-08-23,21,4,Medium,UNRESOLVED,14773262.94,,,11
3260,2021-10-29,19,3,Low,Unresolved,1514450.02,66,,11
1299,2023-08-29,81,9,Medium,resolved,31292154.05,3735,50,9
3304,2024-02-24,46,1,Medium,Resolved,24405343.86,4024,41,25
719,2024-07-18,70,2,Medium,Unresolved,13280542.36,181,,3
2397,2022-04-14,77,2,Medium,Under Investigation,46226607.94,4805,,16
4703,2024-01-29,54,13,Medium,Under Investigation,42445077.16,4487,,3
2996,2021-04-27,66,15,High,Unresolved,489730598.49,16708,,18
2781,2022-08-24,73,5,High,Resolved,471333827.93,20073,55,1
683,2023-01-25,65,14,Low,Resolved,2637364.07,89,16,12
2283,2023-08-10,21,4,High,Resolved,164147874.21,40837,140,20
3454,2023-06-18,7,9,Medium,Under Investigation,19038915.51,3403,,20
4805,2024-03-15,73,10,Medium,Resolved,5306178.54,1002,69,17
2566,2021-03-08,42,7,High,Under Investigation,383296859.45,39124,,25
4341,2024-05-19,47,1,Medium,Resolved,15298650.14,4779,49,25
2360,2024-05-27,25,15,Critical,Under Investigation,1730673251.32,74335,,1
2727,2024-06-01,65,3,High,Resolved,225153350.62,17359,52,3
3548,2024-08-12,25,14,Low,Resolved,3240138.89,350,11,20
1523,2024-03-27,47,13,High,Under Investigation,421743611.53,13861,,25
4333,2024-06-15,33,5,High,Resolved,78095364.68,26313,73,2
3820,2019-12-18,63,6,High,Unresolved,168251042.23,21886,,19
3045,2023-02-02,39,8,Low,Resolved,4787600.72,290,19,21
2405,2024-04-06,24,15,MEDIUM,Under Investigation,37851126.75,2536,,11
1117,2022-09-28,64,4,High,Resolved,272866582.85,7562,148,3
